ym,partner_group,nbothpos,valbothpos,nbothzero,valbothzero,nimpfriction,valimpfriction,ntrackermiss,valtrackermiss,n_total,val_total,pct_n_bothzero,pct_val_bothzero,pct_n_bothpos,pct_val_bothpos,pct_n_trackermiss,pct_val_trackermiss,pct_n_impfriction,pct_val_impfriction
2025m1,Canada,1970,8156725699,4838,19625012574,848,1562031991,326,9033533964,7982,38377304228,60.61137559508894,51.13702738839492,24.68053119518918,21.25403506859367,4.08418942620897,23.53874026776782,10.6239037835129,4.070197275243592
2025m1,China,10353,27107817306,426,12278247709,278,262230504,102,1507831737,11159,41156127256,3.817546375123219,29.83334081126402,92.77713056725513,65.86581175965252,.9140603996773904,3.663687128822789,2.49126265794426,.6371603002606868
2025m1,EU,9072,6741626838,6636,11113012359,84,14129300,636,271786127,16428,18140554624,40.39444850255661,61.2605986384642,55.22279035792549,37.16328953405212,3.871439006574142,1.498223911194128,.5113221329437546,.0778879162895433
2025m1,Japan,3144,6632269309,2486,6250023861,63,55310201,229,91845053,5922,13029448424,41.9790611279973,47.96844545995956,53.09017223910841,50.90214944773474,3.86693684566025,.7049036153427887,1.063829787234043,.4245014769629054
2025m1,Mexico,1686,18289624004,3870,20280453325,746,1912551457,238,1799611259,6540,42282240045,59.1743119266055,47.96447232553429,25.77981651376147,43.25604316264886,3.63914373088685,4.25618712983209,11.40672782874618,4.523297381984768
2025m1,ROW,52183,29444280320,40567,110651566190,7604,4222989456,2994,6707884897,103348,151026720863,39.25281572938034,73.26621776445423,50.49251074041103,19.49607337810745,2.897008166582808,4.441521909943926,7.357665363625808,2.796186947494395
2025m1,S. Korea,1647,5640842864,1999,4508380135,882,478471855,61,279196865,4589,10906891719,43.56068860318152,41.3351507574456,35.89017215079538,51.71815224106012,1.329265635214644,2.559820636282967,19.21987361080846,4.386876365211305
2025m1,UK,2953,1597578037,2224,4387296559,17,1394894,170,248689578,5364,6234959068,41.46159582401193,70.36608438244842,55.05219985085756,25.62291138684986,3.169276659209545,3.988632087039068,.3169276659209545,.0223721436626439
2025m2,Canada,1901,7265949724,4764,17819943780,856,1723860742,289,8161211242,7810,34970965488,60.99871959026889,50.95639634574793,24.34058898847631,20.77709214660731,3.700384122919334,23.33710587658912,10.96030729833547,4.92940563105565
2025m2,China,10254,33101909249,44,713762176,405,84030582,2,186819403,10705,34086521410,.4110228865016347,2.093971888227359,95.78701541335825,97.11143255377434,.018682858477347,.5480741221813047,3.783278841662775,.2465214358169968
2025m2,EU,9567,6096610042,6667,9609301489,78,34978290,564,305240862,16876,16046130683,39.50580706328514,59.88547444138997,56.68997392747096,37.9942689140568,3.342024176345106,1.902270821733903,.4621948328987912,.2179858228193143
2025m2,Japan,3111,5620928612,2362,5505592404,62,52125623,235,118594452,5770,11297241091,40.93587521663778,48.73395512808925,53.91681109185442,49.75487879494702,4.072790294627383,1.049764726137241,1.074523396880416,.4614013508264962
2025m2,Mexico,1679,17838253348,3947,20398585888,756,1924016604,219,1401993460,6601,41562849300,59.79397061051356,49.07889192284033,25.43554006968641,42.91874510152989,3.317679139524315,3.373188998377934,11.45281018027572,4.629173977251844
2025m2,ROW,52494,27125018159,39597,102606224572,7739,4087699425,2868,5659685136,102698,139478627292,38.55673917700442,73.5641198684819,51.11491947262849,19.44743699134168,2.792654189955014,4.057743645663639,7.535687160412081,2.930699494512774
2025m2,S. Korea,1584,4200456084,1943,3909832295,847,954680470,62,279460447,4436,9344429296,43.80072137060414,41.84131712220941,35.70784490532011,44.95144594649625,1.397655545536519,2.990663615161886,19.09377817853922,10.21657331613246
2025m2,UK,2996,1708185043,2252,3767145557,27,2708220,174,91278697,5449,5569317517,41.3286841622316,67.64106276040141,54.9825656083685,30.67135313772055,3.193246467241696,1.638956599643985,.4955037621581942,.0486275022340408
2025m3,Canada,3818,25525170801,1592,3225917275,1881,5008105147,651,1945973147,7942,35705166370,20.04532863258625,9.034875349889036,48.07353311508436,71.4887322929452,8.196927726013598,5.450116453273369,23.68421052631579,14.02627590389239
2025m3,China,10265,26845153386,48,1067969837,336,36765431,0,0,10649,27949888654,.4507465489717344,3.821016427724335,96.39402760822612,96.04744304467239,0,0,3.155225842802141,.1315405276032768
2025m3,EU,10676,8764352115,6197,11281358128,454,216816537,629,389195368,17956,20651722148,34.51214078859434,54.62671852329049,59.4564490977946,42.43884385132877,3.503007351303185,1.884566164559266,2.528402762307864,1.049871460821477
