ym,total_val,n_cells,p10,p25,p50,p75,p90,p95,p99,sh_lt_0p5,sh_lt_1,sh_lt_2,sh_lt_5,sh_lt_10
2025m1,321154252800,161332,0,0,0,.054861359,.63945496,2.7362089,20.699955,88.926552,91.886467,94.373344,96.401505,97.984566
2025m2,292356096000,160345,0,0,0,.1029442,5.912045,8.1057281,24.686386,82.617065,84.715927,86.137054,89.256851,97.408661
2025m3,340401848320,167369,0,0,.0013756572,1.031546,5.019455,9.1588173,21.125782,69.111176,74.855156,82.849808,89.792503,95.337334
2025m4,272746774528,166675,0,.050207157,1.2401115,7.1739359,9.9999466,59.119156,94.833199,41.832306,47.493378,54.653259,65.966461,90.3423
2025m5,273404035072,164440,0,.0070907869,.50942272,4.3214278,10.495486,20.149263,45.478615,47.98288,56.056107,64.526306,76.91478,89.097267
2025m6,258320203776,164095,0,.0069118007,.21520826,2.4935679,9.9997587,14.192326,29.417328,55.983814,65.785492,73.114456,81.17878,90.710342
2025m7,288153501696,169672,0,.0023003963,.13978869,1.9473504,9.9177723,12.741261,31.834909,58.453808,67.319,75.139893,81.847466,91.707832
2025m8,258435383296,164621,0,.020687435,.56623799,5.8960619,12.034993,17.753361,37.74474,46.116421,53.810722,61.941303,72.395432,86.563034
2025m9,277310504960,168592,0,.0051713702,.29445046,3.6910481,12.503055,18.45056,38.623089,56.241039,61.587452,68.484879,78.850166,87.935936
2025m10,275272499200,171828,0,.0073703425,.15250781,2.622927,11.503779,18.342722,39,61.819271,67.405548,73.29377,80.657104,89.029793
2025m11,257808744448,168218,0,.0058406536,.15891469,3.0466151,11.331845,17.992355,38.316082,57.970371,66.352272,72.025093,80.51268,88.897049
2025m12,278183215104,173219,0,.003231131,.12523706,2.6723619,11.682446,18.323395,39.225147,61.652298,66.986328,72.363663,81.39743,88.700165
2026m1,259411165184,168044,0,.0024468144,.11096456,2.5099409,11.029372,18.183277,40.2439,60.078735,67.491135,72.567909,81.37336,89.0681
2026m2,250562805760,168748,0,.01927387,.68734491,3.1737051,10.323333,15.894472,38.035458,46.845268,53.080151,66.665344,80.918091,89.646042
2026m3,299166400512,184258,0,.010996314,.13948433,3.1423399,10,13.164069,39.165318,59.402668,65.483948,70.625244,79.275993,92.080269
