year_month,product_group,s1_num,s2_num,imports,con_val_mo,s1,s2,gap_s1_s2
2025-01,Apparel & Textiles,17990474271.515026,1691366884.2818363,144963667039,13169440202,12.410333319365463,12.843119056989028,-0.43278573762356487
2025-01,Autos & Auto Parts,7772423187.002085,628369593.2515746,386160453419,30193944148,2.0127444740097933,2.081111332032443,-0.06836685802264952
2025-01,Chemicals & Plastics,7719141440.3606615,758345665.2495639,236194955265.22043,29267407681,3.2681229079143255,2.591092704605579,0.6770302033087465
2025-01,Electronics & Machinery,23437726478.04405,2034887047.5838242,969051849981.1018,88684885806,2.4186246049167672,2.2945139175520635,0.12411068736470376
2025-01,Energy & Minerals,1334836337.9665568,122018010.5445669,231555264044,20619624984,0.5764655549842788,0.5917566912067895,-0.01529113622251077
2025-01,Food & Agriculture,3563172561.5351605,425378979.9716722,209066116914.71548,22282125602,1.7043280920497932,1.9090592503144808,-0.20473115826468757
2025-01,Other Manufactured,14811170183.435097,1376963176.939624,515313265759.0161,87865311759,2.874207044062683,1.5671294500341684,1.3070775940285146
2025-01,Pharmaceuticals,3714339.932432378,569707.9411777556,202003285125.80798,19081384377,0.0018387522411425542,0.0029856740471328725,-0.0011469218059903183
2025-01,Steel & Aluminum,4543682048.816237,463097991.1172012,102607509696.6357,9990121668,4.428215890094072,4.635559070322238,-0.20734318022816556
2025-02,Apparel & Textiles,21685408162.25873,1769945558.1076443,144834162046,11878143024,14.972578192823974,14.900860804011518,0.0717173888124556
2025-02,Autos & Auto Parts,9159396099.807405,659324719.7192765,386092637586,27484192887,2.372331199340003,2.398923346339694,-0.026592146999691035
2025-02,Chemicals & Plastics,10896483508.599659,881553451.735988,236970393397.62646,26356009210,4.59824679039791,3.3447911051780514,1.2534556852198588
2025-02,Electronics & Machinery,41085269606.94368,3189180634.5760803,968364975987.282,84213865436,4.242746343139457,3.787001841163272,0.45574450197618477
2025-02,Energy & Minerals,1099041809.0531456,120392802.99071503,226011656226,18648508183,0.48627660511197723,0.6455894584665236,-0.15931285335454637
2025-02,Food & Agriculture,4089853948.418092,393783908.5246455,209838093464.06573,19199181153,1.949052186331682,2.0510453304573053,-0.10199314412562321
2025-02,Other Manufactured,23301301296.30593,1807680750.7863245,515122868215.1264,77001082658,4.523445324227929,2.3476043302080978,2.175840994019831
2025-02,Pharmaceuticals,688068877.7955112,67618555.67838831,199242519537.10773,19205451774,0.345342389462889,0.35208000558429514,-0.006737616121406165
2025-02,Steel & Aluminum,5769182732.412582,515460286.431359,100862678327.01863,8369647752,5.719838921694746,6.158685546929801,-0.4388466252350556
2025-03,Apparel & Textiles,26074952865.37111,1918879398.90304,144864895541,12132489615,17.99949723360779,15.816039904379014,2.1834573292287764
2025-03,Autos & Auto Parts,15011770503.002056,1244430715.6819057,386000711657,36056872362,3.889052545670306,3.451299666782523,0.4377528788877827
