hs10,cty_code,partner_group,product_group,stat_num,cens_num,total_val,s2,s4,gap_pp,gap_usd
8507600020,5700,China,Electronics & Machinery,4375787032.913025,2283264811,10756113152,40.681861292054066,21.22760126017685,19.454260031877215,2092522221.913025
8517620090,5700,China,Electronics & Machinery,2227379649.387926,1226750917,5694477454,39.114732956284456,21.542818053275237,17.57191490300922,1000628732.3879261
2711210000,1220,Canada,Energy & Minerals,888845555.5298388,0,12794553344,6.947062016406087,0,6.947062016406087,888845555.5298388
8704310140,2010,Mexico,Autos & Auto Parts,2554473215.811707,1689428269,21632793705,11.80833715074577,7.809570469899694,3.9987666808460753,865044946.811707
8703230140,2010,Mexico,Autos & Auto Parts,3111034589.5534706,3965299683,24581641898,12.655926737776573,16.131142498348016,-3.4752157605714427,-854265093.4465294
2716000000,1220,Canada,Energy & Minerals,677020529.003629,0,3051719451,22.184887565001432,0,22.184887565001432,677020529.003629
9503000073,5700,China,Other Manufactured,1982846249.0741937,1444613885,7101770878,27.92044805636707,20.341600845996766,7.578847210370306,538232364.0741937
8703220110,2010,Mexico,Autos & Auto Parts,1924715584.304135,1407858215,16435116136,11.710994728465453,8.566159212688389,3.144835515777064,516857369.3041351
7308909590,2010,Mexico,Steel & Aluminum,589707352.408678,102845213,1525814158,38.648701043753064,6.740349895219677,31.908351148533388,486862139.40867805
2709001000,2010,Mexico,Energy & Minerals,396089263.4780976,2644631,6847837926,5.784150672933109,0.03861994148487094,5.745530731448238,393444632.4780976
8541430010,5600,ROW,Electronics & Machinery,682069950.8044969,302712296,2394401856,28.486026649843062,12.642501727162042,15.84352492268102,379357654.8044969
8411124000,1220,Canada,Electronics & Machinery,374465439.0507645,1400383,4118393377,9.092512656562688,0.034003138403939794,9.058509518158749,373065056.0507645
3004909202,4279,EU,Pharmaceuticals,341105352.6532258,0,2061763887,16.544346072020698,0,16.544346072020698,341105352.6532258
8708295160,5700,China,Autos & Auto Parts,1090429954.264401,769370538,1366388457,79.80380313359167,56.30686749866184,23.496935634929834,321059416.26440096
9021390000,4190,EU,Other Manufactured,329887203.9413172,10236764,3200029610,10.308879733813376,0.31989591496311187,9.988983818850263,319650439.9413172
3004909221,5330,ROW,Pharmaceuticals,291761782.1532258,400085,3876133229,7.527135031643304,0.010321755635402077,7.516813276007902,291361697.1532258
3004909221,4419,ROW,Pharmaceuticals,282068183.7741935,0,4529016400,6.22802301564184,0,6.22802301564184,282068183.7741935
8703240150,1220,Canada,Autos & Auto Parts,547479596.178215,268042320,4948824029,11.062822055704478,5.416283109467581,5.646538946236897,279437276.178215
9019200000,5700,China,Other Manufactured,321712757.31066823,50354114,919716676,34.97955030127868,5.474959334106931,29.504590967171747,271358643.31066823
6307909891,5700,China,Apparel & Textiles,862807314.8137169,594292168,1816971438,47.486014186521125,32.707843148825546,14.778171037695579,268515146.8137169
8471300100,5700,China,Electronics & Machinery,923826984.8375115,655961747,9668492341,9.55502628801753,6.784529830140556,2.7704964578769733,267865237.83751154
8701210015,2010,Mexico,Autos & Auto Parts,598528166.4224236,331954394,7250760326,8.254695225219386,4.578201168912834,3.6764940563065522,266573772.4224236
8471500150,2010,Mexico,Electronics & Machinery,428371503.382918,162743746,105076613512,0.4076753989925617,0.15488103447625315,0.25279436451630855,265627757.382918
8703800060,2010,Mexico,Autos & Auto Parts,1012674867.7525762,751191913,9009991422,11.239465392607299,8.337321067429535,2.9021443251777637,261482954.75257623
