date,revision,weighted_etr,matched_imports_b,total_imports_b
2025-01-01,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-02,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-03,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-04,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-05,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-06,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-07,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-08,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-09,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-10,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-11,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-12,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-13,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-14,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-15,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-16,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-17,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-18,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-19,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-20,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-21,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-22,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-23,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-24,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-25,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-26,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-27,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-28,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-29,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-30,basic,2.643515964173149,3077.116730939,3123.773412637
2025-01-31,basic,2.643515964173149,3077.116730939,3123.773412637
2025-02-01,basic,2.643515964173149,3077.116730939,3123.773412637
2025-02-02,basic,2.643515964173149,3077.116730939,3123.773412637
2025-02-03,basic,2.643515964173149,3077.116730939,3123.773412637
2025-02-04,rev_1,3.980293582546288,3077.403446361,3123.773412637
2025-02-05,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-06,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-07,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-08,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-09,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-10,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-11,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-12,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-13,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-14,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-15,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-16,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-17,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-18,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-19,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-20,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-21,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-22,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-23,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-24,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-25,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-26,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-27,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-02-28,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-03-01,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-03-02,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-03-03,rev_2,3.980293582546288,3077.403446361,3123.773412637
2025-03-04,rev_3,5.955500917327307,3077.403446361,3123.773412637
2025-03-05,rev_3,5.955500917327307,3077.403446361,3123.773412637
2025-03-06,rev_3,5.955500917327307,3077.403446361,3123.773412637
2025-03-07,rev_4,6.056436341052444,3077.403446361,3123.773412637
2025-03-08,rev_4,6.056436341052444,3077.403446361,3123.773412637
2025-03-09,rev_4,6.056436341052444,3077.403446361,3123.773412637
2025-03-10,rev_4,6.056436341052444,3077.403446361,3123.773412637
2025-03-11,rev_4,6.056436341052444,3077.403446361,3123.773412637
2025-03-12,bnd_2025-03-12,6.680922708658117,3077.403446361,3123.773412637
2025-03-13,bnd_2025-03-12,6.680922708658117,3077.403446361,3123.773412637
2025-03-14,rev_5,6.688664631668018,3077.403446361,3123.773412637
2025-03-15,rev_5,6.688664631668018,3077.403446361,3123.773412637
2025-03-16,rev_5,6.688664631668018,3077.403446361,3123.773412637
2025-03-17,rev_5,6.688664631668018,3077.403446361,3123.773412637
2025-03-18,rev_5,6.688664631668018,3077.403446361,3123.773412637
2025-03-19,rev_5,6.688664631668018,3077.403446361,3123.773412637
2025-03-20,rev_5,6.688664631668018,3077.403446361,3123.773412637
