year_month,customs_duties,imports_value,effective_rate
2025-01,7341,317226.6,2.3141186773114235
2025-02,7247,288193.9,2.514626437270185
2025-03,8168,342726.7,2.3832400568733045
2025-04,15634,276133.4,5.661756238108103
2025-05,22173,276402.9,8.021985297549337
2025-06,26632,265517.9,10.03020888610523
2025-07,27670,292215,9.46905531885769
2025-08,29503,262848.9,11.224319371319416
2025-09,29675,276477.6,10.733238425102073
2025-10,31354,274928.6,11.404415546436422
2025-11,30756,260826.2,11.791760183601188
2025-12,27892,282197,9.88387544871136
2026-01,27742,260593.3,10.64570731480817
2026-02,26594,253555.3,10.488441771873829
2026-03,22155,301671.3,7.344086096357194
