partner_group,product_group,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
Canada,Apparel & Textiles,34,1,0,14588002.833333334,550184.6666666666,0,0.0377148724847725,0,-0.11645161434525675,-0.06865110364756843,-0.04780051069768843,-0.5059301608018919
Canada,Autos & Auto Parts,90,3,0,2815000188.3333335,310499454,0,0.11030175247833153,0,-0.17416366670762806,-0.07083262302661746,-0.10333104368100976,-0.4734371952006141
Canada,Chemicals & Plastics,71,7,1,111891401.66666667,5976388,87460.66666666667,0.05341239729755225,7.81656725752877e-4,0.14816146046211984,-0.024891821460494075,0.17305328192261374,-0.7045231210001438
Canada,Electronics & Machinery,487,21,1,2048026984.8333333,47956538.333333336,768700,0.02341596994984712,3.753368513660264e-4,0.11877242617900355,0.11120459149812603,0.007567834680877403,-0.06842258053072273
Canada,Energy & Minerals,10,0,0,696773006.6666667,0,0,0,0,-0.5006988683279502,-0.12716617120565185,-0.373532697122297,2.1587162494610594
Canada,Food & Agriculture,52,1,0,227947871.33333334,3169132,0,0.01390288043254287,0,0.03383570368830554,-0.024997268004534952,0.058832971692841296,0.03336930035897119
Canada,Other Manufactured,318,20,4,1634592055.3333333,51453585.666666664,1785062,0.031477936956064566,0.0010920535152337946,0.5312916139757997,0.4456795527489382,0.08561206122686209,0.23894067442887013
Canada,Pharmaceuticals,28,0,0,132304604.66666667,0,0,0,0,-0.3257743913558639,0.002600112261265041,-0.3283745036171284,-0.35372645732033325
Canada,Steel & Aluminum,352,20,0,997548389.3333334,121797982,0,0.1220973170849368,0,-0.29421341480733076,-0.2201305642291591,-0.07408285057817149,-1.1809093526653174
China,Apparel & Textiles,1267,95,4,2467101114.8333335,195703020.66666666,5433180,0.07932509109173155,0.0022022526629870386,-0.06876668328980236,0.06154223692681498,-0.13030892021661744,-0.14798197389907178
China,Autos & Auto Parts,161,16,1,962024687.1666666,324310023.3333333,5132330,0.33711195529553806,0.0053349254634157284,-0.17867352624257749,-0.1179521090371843,-0.06072141720539296,-0.013125586825659548
China,Chemicals & Plastics,1025,80,27,2187276193.5,140771260.83333334,75956761.5,0.06435916106601804,0.03472664390794505,-0.24266316429803397,-0.18412467915831987,-0.0585384851397139,0.013292219383322812
China,Electronics & Machinery,1587,111,12,7893824341.333333,718869995.1666666,103091495,0.09106739193606675,0.013059765525842317,-0.40946062178352527,-0.2888116287802861,-0.12064899300323921,-0.2064772866337607
China,Energy & Minerals,29,1,0,31066445.166666668,1529782.5,0,0.049242277054647024,0,0.5276616449982682,0.5976628537116568,-0.0700012087133887,-0.06869615218725932
China,Food & Agriculture,342,23,8,360630018.1666667,37987276.333333336,17707494,0.10533586895081307,0.04910155313753279,-0.3618287409384128,-0.2371756106708431,-0.12465313026756936,0.07137985250662572
China,Other Manufactured,1720,126,12,5516112407.666667,772335835.6666666,123883858.33333333,0.14001452084138494,0.02245854492761082,0.05848931379607266,0.12974348285833393,-0.07125416906226115,-0.057923199085628964
China,Pharmaceuticals,73,1,0,295273940,6135636.333333333,0,0.020779471203362317,0,-0.02751884845183209,0.13371964114809667,-0.16123848959992879,-0.27362821475641325
China,Steel & Aluminum,419,32,1,777211470.1666666,54338679.666666664,113598.66666666667,0.06991492245349155,1.4616185044503572e-4,-0.37960418644699934,-0.28292055872303024,-0.09668362772396931,-0.07807703410960701
