hs2,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
85,635,47,5,4571921697.166667,249688821.33333334,12661614,0.05461353843572424,0.002769429320682967,-0.44303595710581906,-0.28622964350399943,-0.1568063136018197,-0.2008469886829823
84,952,64,7,3321902644.1666665,469181173.8333334,90429881,0.14123868881504573,0.027222315247196316,-0.36325101828439876,-0.2923652050800459,-0.07088581320435294,-0.2161870232035349
95,97,7,1,1659091488.1666667,296233091,5487505,0.17855138978944687,0.003307536105838151,0.6539834292637954,0.6079338536835012,0.0460495755802946,-0.18388122396946593
39,213,19,7,1160050860.6666667,68306756.33333333,47603248.333333336,0.05888255304088847,0.04103548382868001,-0.2376182961916855,-0.21029791129331823,-0.027320384898366953,0.052055944812854145
87,161,16,1,962024687.1666666,324310023.3333333,5132330,0.33711195529553806,0.0053349254634157284,-0.17867352624257749,-0.1179521090371843,-0.06072141720539296,-0.013125586825659548
94,197,26,5,913732849,201487649,93557278,0.22051045797522817,0.10239018779109253,-0.4115626506545674,-0.20164033150369448,-0.20992231915087325,0.29917318422738487
90,273,20,1,785432262.5,111664046,207018,0.14216890664075568,2.6357206074152065e-4,-0.12832640225433878,-0.023183486223142747,-0.10514291603119554,0.022453506695101193
73,308,25,0,633199103.3333334,52930701.666666664,0,0.0835925088775789,0,-0.4266582656672874,-0.31248164827055996,-0.11417661739672773,-0.12216294325941203
61,313,18,1,611441484,37106982.666666664,158554,0.06068770869767591,2.593118133934138e-4,0.09659265348414663,0.254006982468952,-0.1574143289848052,-0.16228038999043137
64,195,13,0,576421991.3333334,23220496.333333332,0,0.040283848781725924,0,-0.20160375371087325,-0.12489343705662713,-0.07671031665424628,0.006785448277232577
29,438,21,7,541424867.6666666,21808986.5,9852897.333333334,0.04028072554921306,0.018198087900534638,-0.26059745877335094,-0.16886575488878366,-0.09173170388456722,-0.023632684789635885
63,137,25,1,540061331,85984932,1565865,0.15921327276068206,0.0028994206956098473,-0.041064383383027,0.06281831441434248,-0.10388269779737003,0.0864012239178728
62,344,20,1,406830371.5,24567051.666666668,3393258.6666666665,0.06038647403852116,0.008340721107314542,-0.034093025883516925,0.1434982005027814,-0.17759122638629823,-0.3929671998259327
83,83,7,0,323718637.1666667,22492899.666666668,0,0.06948286902334322,0,-0.27440939408282733,-0.17705578882389758,-0.0973536052589306,-0.24999359260102974
96,90,4,0,321495807.8333333,2023474.3333333333,0,0.006293936916223563,0,-0.13848432767800242,-0.0022894199246107022,-0.13619490775339096,-0.7831278274001263
30,73,1,0,295273940,6135636.333333333,0,0.020779471203362317,0,-0.02751884845183209,0.13371964114809667,-0.16123848959992879,-0.27362821475641325
